 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 072 BCG
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";41356;37582;39713;35505;37018;34723;34654;35213;32122;31107;30836;30823;30194;26244;28357;28068;26805;27586;27674;29899;29180;29955;28900;27104;24805;14635;800058
"12 Acre";8417;15209;11755;12384;13242;13272;17101;20105;21053;19352;19048;19076;19080;19831;19531;18437;19256;18481;17700;18890;17448;18019;16939;16345;15839;9720;435530
"13 Amazonas";32376;64859;70259;72388;73559;81282;84148;84517;85867;89590;84632;95910;96372;92081;90910;91384;87714;88693;93902;88990;93158;87367;77405;75738;74056;45990;2103147
"14 Roraima";7463;9129;9221;9237;8929;10290;18261;10048;10510;10705;9498;10401;11074;9920;9599;9809;10908;11086;11377;9303;11020;11944;11985;12974;15138;8683;278512
"15 Pará";142918;165165;168961;174889;128708;154564;162481;183776;200764;197849;183739;214006;210510;204987;193105;183717;177783;171319;162045;167041;158187;131887;116950;121313;115103;64516;4256283
"16 Amapá";-;9853;12964;10189;12649;16823;16755;26502;18320;18241;16925;17461;17901;16338;17469;16551;16539;15974;15125;17692;17685;19065;18473;15766;15924;9418;406602
"17 Tocantins";-;-;27987;29557;31092;32959;31203;32660;30838;28417;28049;29242;29048;27292;27587;25907;25117;25555;24482;23039;25122;25907;24749;26221;24429;17430;653889
"21 Maranhão";119778;156901;154758;153225;155751;161104;163096;172299;169504;172918;164230;173280;176834;180206;171935;163890;154853;151712;140959;137377;125450;118831;105284;115279;111062;56549;3827065
"22 Piauí";65186;78481;68633;63535;64898;68361;68393;68485;64959;60956;62148;62071;60357;56963;55908;53339;51780;51094;49401;48407;46278;40035;40198;46037;45806;24311;1466020
"23 Ceará";188430;217161;219717;215827;166888;201012;193388;185396;175195;165587;158890;166229;148681;150981;143279;142003;140053;139239;135348;139709;136252;143187;139925;139510;130356;71228;4153471
"24 Rio Grande do Norte";59231;57094;54767;57042;52126;59916;58329;57418;60832;59280;56684;58756;56634;54498;53977;53921;55014;58282;55012;52490;50815;49471;42931;31972;48468;20171;1375131
"25 Paraíba";-;53389;70470;77338;72826;76334;72677;80286;75091;73423;74953;81072;75810;74001;76749;70927;65785;68059;65209;65991;63525;60091;55952;58990;58849;33189;1700986
"26 Pernambuco";166185;206072;206440;211107;204655;217701;203858;194924;193289;191131;182000;178077;170353;163715;164432;159999;152554;156620;151584;149408;153453;155633;141871;139580;138755;79155;4432551
"27 Alagoas";-;57355;55313;59381;65099;75639;78991;73659;81899;78389;73119;72114;67527;63425;58684;63047;56336;55394;59347;61087;56718;53637;54341;57085;53780;30194;1561560
"28 Sergipe";-;46445;46674;46970;47963;49143;46739;44729;38982;38632;38442;39174;39404;37525;38240;35626;31892;34600;32381;33742;34029;36212;33372;33630;33253;17506;955305
"29 Bahia";316596;231238;234200;261086;270508;277616;289827;311442;286698;287888;288944;284362;262055;251597;235595;232162;231351;229056;216081;217606;212667;208964;171411;175730;166031;94122;6244833
"31 Minas Gerais";-;-;-;301189;280525;338945;372241;327789;313831;300026;299984;301041;284161;271789;270804;260775;257245;259580;260744;270424;262014;264798;238423;249582;251347;153740;6390997
"32 Espírito Santo";54784;60809;60315;60761;63702;66231;61956;60841;59804;58773;58604;57031;54744;51121;52260;52046;54992;53146;53068;55536;55743;55311;51190;51101;53274;31300;1448443
"33 Rio de Janeiro";-;281375;233867;294463;284553;310112;282577;258744;256191;257794;251299;257800;248536;240301;234436;237316;234528;246971;232968;235729;252465;257521;248215;268520;229546;76225;6212052
"35 São Paulo";-;735265;739514;795671;793238;801618;759875;701361;678785;664327;674353;658767;630269;605155;627559;613416;607038;620629;622359;632503;637903;624356;590146;628827;594669;310170;16347773
"41 Paraná";-;154457;201168;202587;207542;201381;199414;187968;176326;166607;167352;167380;160282;151763;155575;154659;154864;158910;155011;168189;166218;164553;150470;153069;146322;98696;4170763
"42 Santa Catarina";119295;121155;111866;108326;90682;96205;100736;91855;88098;84833;88692;87328;85645;82580;86004;85419;86300;89036;87014;89430;95802;98908;94536;79004;87194;55013;2390956
"43 Rio Grande do Sul";-;191991;184503;179670;174635;190636;181810;167780;160980;154845;156086;151953;144276;133823;133708;132519;128689;135249;135305;152706;146024;146604;135316;131199;125517;82642;3758466
"50 Mato Grosso do Sul";-;-;46526;49702;47573;48854;49227;48083;45898;42407;41490;42562;41219;40891;42209;41991;42367;43275;42421;47717;54796;54808;46745;46659;45618;28788;1081826
"51 Mato Grosso";54128;58319;58633;60070;57271;56287;60344;57838;57283;56180;57119;59693;55447;55731;56127;54025;47812;50895;52072;54578;57293;57884;54535;54201;56181;29264;1429210
"52 Goiás";66630;108401;103246;102276;101776;106840;103027;102643;105909;102451;106037;106460;102954;101722;104499;101125;103479;105101;98627;104426;107674;99737;92058;91133;88978;56745;2573954
