 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 074 Poliomielite
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";54,17;68,75;73,78;92,83;104,67;96,48;98,82;104,77;98,27;93,97;103,75;110,25;122,13;120,88;105,98;111,99;101,20;107,32;105,68;100,07;108,09;105,44;105,44;108,61;101,76;57,10;96,58
"12 Acre";24,31;45,84;61,34;78,74;71,71;76,77;92,64;113,91;122,35;131,65;111,35;94,05;94,66;116,33;94,64;110,91;104,03;111,03;96,07;92,78;75,44;82,74;71,27;73,88;77,58;49,86;88,50
"13 Amazonas";17,86;48,41;84,96;85,73;86,73;84,06;103,46;90,00;91,89;85,63;91,44;90,97;89,85;93,06;87,06;93,57;92,48;87,15;91,93;96,83;98,86;104,80;76,24;76,30;78,83;55,09;83,79
"14 Roraima";49,36;93,94;83,36;81,69;103,03;99,13;134,10;85,58;93,31;86,46;91,02;100,22;90,94;95,00;89,57;103,67;96,71;95,52;88,78;86,48;89,54;112,28;88,45;87,52;81,87;52,25;90,74
"15 Pará";38,36;45,48;47,88;49,71;83,76;86,14;109,25;107,74;118,45;118,52;124,94;123,42;116,22;111,15;109,56;106,11;103,38;101,54;97,78;96,98;84,36;72,09;63,15;67,18;68,28;42,82;88,23
"16 Amapá";...;59,74;71,93;86,57;76,07;85,72;91,16;155,06;94,27;98,44;104,02;99,70;94,36;98,82;97,10;126,11;90,75;84,58;92,67;93,31;80,66;92,38;47,59;63,88;68,66;46,88;88,13
"17 Tocantins";...;...;64,37;100,46;108,06;107,50;106,04;118,44;106,54;102,04;106,65;106,26;108,91;109,02;99,83;107,81;97,21;99,62;92,75;96,97;90,51;97,22;84,77;85,93;90,90;58,95;97,95
"21 Maranhão";34,81;43,91;38,44;62,35;64,78;68,41;80,98;96,45;96,78;99,51;108,34;112,95;114,26;118,59;108,01;112,14;106,62;102,93;97,54;105,73;93,42;100,02;69,43;72,80;79,34;47,59;84,77
"22 Piauí";53,33;65,31;64,35;62,77;83,15;94,71;99,34;106,39;106,35;103,72;106,00;102,53;107,62;108,31;100,04;103,42;97,02;98,47;93,91;93,06;81,86;80,92;70,69;77,67;83,00;51,63;88,01
"23 Ceará";94,18;106,37;103,09;109,36;90,05;104,02;101,39;112,59;103,92;98,78;115,84;110,62;109,21;108,98;105,37;105,70;101,03;100,00;97,79;104,79;103,92;113,68;107,89;96,57;108,81;62,25;102,88
"24 Rio Grande do Norte";69,70;73,06;66,30;75,44;73,31;79,87;86,79;91,46;94,42;97,37;98,65;98,43;102,95;99,01;92,36;95,99;96,67;96,88;93,98;93,86;95,63;97,64;70,25;69,04;89,62;44,26;85,90
"25 Paraíba";...;40,16;74,99;85,18;87,05;94,52;91,89;103,87;100,66;98,24;103,13;104,78;111,07;110,40;101,47;110,05;100,95;101,97;92,08;108,24;100,40;96,12;85,46;82,07;91,55;51,54;92,41
"26 Pernambuco";51,16;112,12;119,08;128,05;131,43;127,29;114,08;104,61;103,77;113,81;109,86;109,70;109,60;110,94;106,67;108,60;101,18;109,60;100,08;101,06;101,68;109,29;90,38;84,38;94,04;54,19;103,95
"27 Alagoas";...;54,07;40,02;50,12;60,33;85,32;94,25;86,47;98,48;100,75;104,98;103,22;103,88;94,38;90,87;106,07;100,47;90,61;90,22;97,53;93,32;94,25;80,07;82,65;94,80;56,34;85,34
"28 Sergipe";...;92,80;87,14;98,86;98,19;105,68;101,90;101,53;103,27;107,79;107,34;97,17;99,51;108,68;99,94;105,73;99,87;103,40;96,85;99,41;94,25;93,69;78,29;79,04;89,09;53,49;96,36
"29 Bahia";76,43;48,64;55,77;68,03;80,54;83,54;95,25;108,30;93,10;92,07;103,14;109,82;109,76;105,46;98,45;102,30;95,93;97,32;93,26;96,40;93,87;95,42;70,72;77,27;77,30;43,86;86,84
"31 Minas Gerais";...;...;...;76,28;82,20;93,10;106,70;99,22;91,01;87,11;103,49;105,86;105,99;105,58;99,56;105,19;100,41;103,22;98,61;103,24;96,51;97,12;88,29;86,50;95,28;57,74;94,87
"32 Espírito Santo";73,72;73,97;80,89;98,38;120,33;148,59;108,53;109,82;114,88;119,51;112,22;112,11;112,45;108,97;104,58;107,32;103,07;108,26;104,93;100,22;101,25;99,39;89,28;81,32;90,54;54,09;101,12
