"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"11 Rondônia";"1066655";"1131629";"1321580";"1268726";"1529870";"1409218";"1946752";"1708077";"1307970";"1240459";"1426595";"1340974";"1238455";"1215765";"1994004";"1324593";"1285531";"1046289";"1132627";"1475687";"1317443";"1210346";"1068443";"1040486";"1042453";"965850";"34056477"
"12 Acre";"247271";"532068";"381238";"750997";"613288";"2095997";"897103";"803376";"730728";"721201";"768388";"796540";"669942";"808398";"1101545";"850524";"760337";"728636";"652141";"740607";"523241";"537768";"462718";"491815";"468962";"469954";"18604783"
"13 Amazonas";"1060057";"1713669";"2330216";"2714198";"3701986";"3090981";"4375096";"3627279";"3437222";"3021795";"2995364";"3125531";"3112837";"3338186";"4681748";"3402865";"3169663";"2638224";"3009721";"3866612";"3235902";"3087677";"2348378";"2732985";"3614395";"2835710";"80268297"
"14 Roraima";"243144";"382307";"343973";"330366";"636257";"452054";"696255";"497155";"512151";"496589";"507098";"583352";"521363";"555510";"702570";"510003";"467047";"390022";"388590";"496372";"488571";"517445";"448371";"564293";"764030";"632659";"13127547"
"15 Pará";"2702656";"2989578";"3762019";"5986769";"7379632";"8898969";"9555755";"7828208";"10078315";"8499530";"8007790";"7282589";"6687098";"6719441";"9321054";"6708840";"5897076";"4917110";"5382295";"6611561";"4981635";"3790026";"3259020";"4082027";"3688841";"4166115";"159183949"
"16 Amapá";"0";"199883";"217548";"342782";"594037";"623304";"801443";"950739";"699919";"603199";"600663";"561421";"533933";"552849";"859412";"635197";"589878";"475726";"531191";"636151";"546718";"518444";"482008";"469917";"457555";"445250";"13929167"
"17 Tocantins";"0";"0";"861857";"940661";"1617472";"1972340";"2015982";"1563858";"1576494";"1377203";"1485587";"1355459";"1193202";"1307533";"1978904";"1189213";"1227429";"915869";"960600";"1259635";"1074531";"928444";"787130";"940983";"823995";"830418";"30184799"
"21 Maranhão";"3573421";"4516440";"3235673";"4463053";"5709568";"7880828";"7946756";"7062753";"6196708";"5733346";"6333081";"6226088";"5590767";"5878367";"9289389";"5771256";"6034523";"4627645";"4884080";"6145679";"5019758";"4447888";"3171415";"3911648";"3679852";"3461396";"140791378"
"22 Piauí";"1665626";"1440068";"1339793";"1491053";"1604822";"2170145";"3569150";"2755932";"3079740";"2839842";"2969338";"2484160";"2305195";"2560669";"3307770";"2237250";"2105171";"1763128";"1879596";"2427857";"1787064";"1665126";"1452571";"1506500";"1544663";"1550377";"55502606"
"23 Ceará";"3525002";"3454249";"4313033";"5798538";"4654166";"6716104";"7282168";"6207816";"6112441";"6762604";"6896939";"6833339";"5743764";"5970892";"8385113";"5742554";"5729675";"4511268";"4886493";"6361667";"6094710";"7319309";"4740623";"5084870";"5080480";"4167721";"148375538"
